System,SubSystem,BodyPart,Organ,
Musculoskeletal,Musculoskeletal,Human skeleton,Human skeleton,
Musculoskeletal,Musculoskeletal,Joint,Joint,
Musculoskeletal,Musculoskeletal,Bone,Bone,
Musculoskeletal,Musculoskeletal,Ligament,Ligament,
Musculoskeletal,Musculoskeletal,Muscular system,Muscle,
Musculoskeletal,Musculoskeletal,Tendon,Tendon,
Musculoskeletal,Musculoskeletal_Detail,Head,Head,
Musculoskeletal,Musculoskeletal_Detail,Face,Face,
Musculoskeletal,Musculoskeletal_Detail,Neck,Neck,
Musculoskeletal,Musculoskeletal_Detail,Chest(Thorax),Chest(Thorax),
Musculoskeletal,Musculoskeletal_Detail,Spine (vertebral column),Spine (vertebral column),
Musculoskeletal,Musculoskeletal_Detail,Pelvis,Pelvis,
Musculoskeletal,Musculoskeletal_Detail,Upper limb,Arm,
Musculoskeletal,Musculoskeletal_Detail,Upper limb,Shoulder,
Musculoskeletal,Musculoskeletal_Detail,Upper limb,Forearm,
Musculoskeletal,Musculoskeletal_Detail,Upper limb,Hand,
Musculoskeletal,Musculoskeletal_Detail,Lower Limb,Thigh,
Musculoskeletal,Musculoskeletal_Detail,Lower Limb,Leg,
Musculoskeletal,Musculoskeletal_Detail,Lower Limb,Foot,
Musculoskeletal,Musculoskeletal_Detail,Lower Limb,Hip,
Musculoskeletal,Musculoskeletal_Detail,Torso,Torso,
Musculoskeletal,Musculoskeletal_Detail,Abdomen,Abdomen,
Musculoskeletal,Musculoskeletal_Detail,Back,Back,
Musculoskeletal,Musculoskeletal_Detail,Fascia,Fascia,
Musculoskeletal,Musculoskeletal_Detail,Tissue,Tissue,
Digestive,Digestive,Mouth,Tooth,
Digestive,Digestive,Mouth,Tongue,
Digestive,Digestive,Mouth,Lip,
Digestive,Digestive,Salivary gland,Parotid gland,
Digestive,Digestive,Salivary gland,Submandibular gland,
Digestive,Digestive,Salivary gland,Sublingual gland,
Digestive,Digestive,Pharynx,Pharynx,
Digestive,Digestive,Esophagus,Esophagus,
Digestive,Digestive,Stomach,Stomach,
Digestive,Digestive,Small intestine,Duodenum,
Digestive,Digestive,Small intestine,Jejunum,
Digestive,Digestive,Small intestine,Ileum,
Digestive,Digestive,Large intestine,Cecum,
Digestive,Digestive,Large intestine,Ascending colon,
Digestive,Digestive,Large intestine,Transverse colon,
Digestive,Digestive,Large intestine,Descending colon,
Digestive,Digestive,Large intestine,Sigmoid colon,
Digestive,Digestive,Rectum,Rectum,
Digestive,Digestive,Liver,Liver,
Digestive,Digestive,Gallbladder,Gallbladder,
Digestive,Digestive,Mesentery,Mesentery,
Digestive,Digestive,Pancreas,Pancreas,
Digestive,Digestive,Anal canal,Anal canal,
Digestive,Digestive,Appendix,Appendix,
Respiratory,Respiratory,Nasal cavity,Nasal cavity,
Respiratory,Respiratory,Pharynx,Pharynx,
Respiratory,Respiratory,Larynx,Larynx,
Respiratory,Respiratory,Trachea,Trachea,
Respiratory,Respiratory,Bronchi,Bronchi,
Respiratory,Respiratory,Bronchiole,Bronchiole,
Respiratory,Respiratory,Lung,Lung,
Respiratory,Respiratory,Ethmoid,Ethmoid,
Respiratory,Respiratory,Sinus,Sinus,
Urinary,Urinary,Kidney,Kidney,
Urinary,Urinary,Ureter,Ureter,
Urinary,Urinary,Bladder,Bladder,
Urinary,Urinary,Urethra,Urethra,
Reproductive,Female,Ovary,Ovary,
Reproductive,Female,Fallopian tube,Fallopian tube,
Reproductive,Female,Uterus,Uterus,
Reproductive,Female,Cervix,Cervix,
Reproductive,Female,Placenta,Placenta,
Reproductive,Female,Vulva,Vulva,
Reproductive,Female,Clitoris,Clitoris,
Reproductive,Female,Vagina,Vagina,
Reproductive,Male,Testicle,Testicle,
Reproductive,Male,Epididymides,Epididymides,
Reproductive,Male,Vasa deferentia,Vasa deferentia,
Reproductive,Male,Seminal vesicle,Seminal vesicle,
Reproductive,Male,Prostate,Prostate,
Reproductive,Male,Bulbourethral gland,Bulbourethral gland,
Reproductive,Male,Penis,Penis,
Reproductive,Male,Scrotum,Scrotum,
Endocrine,Endocrine,Pituitary gland,Pituitary gland,
Endocrine,Endocrine,Pineal gland,Pineal gland,
Endocrine,Endocrine,Thyroid gland,Thyroid gland,
Endocrine,Endocrine,Parathyroid gland,Parathyroid gland,
Endocrine,Endocrine,Adrenal gland,Adrenal gland,
Endocrine,Endocrine,Pancreas,Pancreas,
Endocrine,Endocrine,Adrenal Gland,Adrenal Gland,
Circulatory,Circulatory,Heart,Heart,
Circulatory,Circulatory,Arteries,Arteries,
Circulatory,Circulatory,Veins,Veins,
Circulatory,Circulatory,Capillaries,Capillaries,
Circulatory,Lymphatic,Lymphatic vessel,Lymphatic vessel,
Circulatory,Lymphatic,Lymph node,Lymph node,
Circulatory,Lymphatic,Bone marrow,Bone marrow,
Circulatory,Lymphatic,Thymus,Thymus,
Circulatory,Lymphatic,Spleen,Spleen,
Circulatory,Lymphatic,Gut-associated lymphoid tissue,Tonsils,
Circulatory,Lymphatic,Interstitium,Interstitium,
Nervous,Brain,Brain,Cerebral hemispheres,
Nervous,Brain,Brain,Thalamus,
Nervous,Brain,Brain,Hypothalamus,
Nervous,Brain,Brain,Midbrain,
Nervous,Brain,Brain,Cerebellum,
Nervous,Brain,Brain,Pons,
Nervous,Brain,Brain,Medulla oblongata,
Nervous,Brain,The spinal cord,The spinal cord,
Nervous,Brain,Choroid plexus,Choroid plexus,
Nervous,Peripheral nervous,Nerves,Cranial nerves,
Nervous,Peripheral nervous,Nerves,Spinal nerves,
Nervous,Peripheral nervous,Nerves,Ganglia,
Nervous,Peripheral nervous,Nerves,Enteric nervous system,
Nervous,Sensory organs,Eye,Cornea,
Nervous,Sensory organs,Eye,Iris,
Nervous,Sensory organs,Eye,Ciliary body,
Nervous,Sensory organs,Eye,Lens,
Nervous,Sensory organs,Eye,Retina,
Nervous,Sensory organs,Ear,Outer ear (Earlobe),
Nervous,Sensory organs,Ear,Eardrum,
Nervous,Sensory organs,Ear,Middle ear (Ossicles),
Nervous,Sensory organs,Ear,Cochlea,
Nervous,Sensory organs,Ear,Vestibule of the ear,
Nervous,Sensory organs,Ear,Semicircular canals,
Nervous,Sensory organs,Nose,Nose,
Nervous,Sensory organs,Olfactory epithelium,Olfactory epithelium,
Nervous,Sensory organs,Tongue,Taste buds,
