Model,Cardiology,Radiology,Pathology,Neurology,Neurosurgery,Dermatology,Gastroenterology,Dentistry,Orthodontics,Ophthalmology,Plastic Surgery,Oncology
Gemini2.5-Pro(03-25),85.88,87.01,76.74,82.95,82.64,81.13,81.32,81.85,78.13,79.49,80.68,77.03
GPT4.1,81.36,83.63,68.99,78.81,76.03,78.3,75.82,78.55,80.17,79.17,71.21,75.68
GPT-4o,80.79,80.96,69.77,73.64,72.31,74.06,72.53,76.24,78.13,75.64,67.42,73.65
InternVL3-78B,79.94,80.6,67.05,74.94,71.9,74.06,68.86,71.29,75.22,71.79,73.48,70.61
LLaVA-OV-72B,77.12,77.58,66.67,78.29,71.9,70.28,68.5,72.61,76.97,68.27,69.32,73.65
Ovis2-34B,77.97,78.65,66.28,74.42,68.18,72.64,64.47,68.32,76.97,67.95,65.91,63.18
Qwen2.5-VL-72B-Instruct,76.55,77.76,70.16,71.83,68.18,69.34,67.77,66.67,72.3,66.99,62.5,70.95
HealthGPT-L14,70.9,75.44,63.18,72.35,67.36,67.45,61.54,67.99,70.55,73.72,60.23,64.86
HuatuoGPT-Vision-34B,70.34,77.76,63.18,71.32,60.74,65.09,61.17,64.36,67.06,62.82,53.41,64.53
Claude3.7-Sonnet-Thinking,76.84,77.76,64.73,72.61,66.53,70.28,68.86,71.29,75.51,67.31,64.39,66.55
VL-Reasoner-72B,71.75,75.44,63.57,73.13,64.05,62.26,63.0,64.03,71.14,66.03,60.98,69.93
Skywork-R1V2-38B,72.6,69.57,54.65,62.27,61.57,64.15,63.37,65.35,69.1,62.82,60.23,65.54
MedVLM-R1,60.17,67.97,58.91,56.33,56.2,53.3,53.85,62.05,58.31,50.32,52.27,54.73
