Model,Cardiology,Diagnostic Specialties,Neurology,Dermatology,Gastroenterology,Oral Health,Ophthalmology,Surgery,Oncology
Gemini2.5-Pro(03-25),85.88,83.78,82.83,81.13,80.2,79.88,79.49,77.61,77.03
GPT4.1,81.36,79.02,77.74,78.3,75.74,79.41,79.17,73.35,75.68
GPT-4o,80.79,77.44,73.13,74.06,71.78,77.24,75.64,70.15,73.65
InternVL3-78B,79.94,76.34,73.77,74.06,67.08,73.37,71.79,71.64,70.61
LLaVA-OV-72B,77.12,74.15,75.83,70.28,68.56,74.92,68.27,70.15,73.65
Ovis2-34B,77.97,74.76,72.02,72.64,66.09,72.91,67.95,68.87,63.18
Qwen2.5-VL-72B-Instruct,76.55,75.37,70.43,69.34,66.58,69.66,66.99,63.54,70.95
HealthGPT-L14,70.9,71.59,70.43,67.45,62.38,69.35,73.72,61.41,64.86
HuatuoGPT-Vision-34B,70.34,73.17,67.25,65.09,62.87,65.79,62.82,56.08,64.53
Claude3.7-Sonnet-Thinking,76.84,73.66,70.27,70.28,69.55,73.53,67.31,65.67,66.55
VL-Reasoner-72B,71.75,71.71,69.63,62.26,62.87,67.8,66.03,61.83,69.93
Skywork-R1V2-38B,72.6,64.88,62.0,64.15,60.64,67.34,62.82,62.05,65.54
MedVLM-R1,60.17,65.12,56.28,53.3,53.71,60.06,50.32,53.52,54.73
