Model,Magnetic Resonance Imaging,Computed Tomography,X-ray,Ultrasound,Dermatology,Endoscopy,General Photo of Affected Area,Histopathology
Gemini2.5-Pro(03-25),86.26,82.91,81.91,83.33,81.0,78.1,79.02,77.08
GPT4.1,81.87,78.06,80.93,77.18,79.0,75.5,76.2,69.58
GPT-4o,78.3,73.7,78.6,76.41,75.0,71.76,73.39,66.88
InternVL3-78B,78.57,73.7,75.88,73.08,73.0,68.88,71.75,63.96
LLaVA-OV-72B,79.67,72.86,78.02,72.82,72.0,67.72,72.22,62.71
Ovis2-34B,75.27,73.53,75.68,69.23,73.5,63.98,70.69,63.96
Qwen2.5-VL-72B-Instruct,74.45,73.53,73.74,74.36,68.0,64.27,64.48,63.75
HealthGPT-L14,73.08,68.17,71.6,70.77,70.0,60.23,67.64,61.46
HuatuoGPT-Vision-34B,74.73,69.85,69.84,67.44,60.5,60.81,57.8,61.88
Claude3.7-Sonnet-Thinking,74.45,70.18,75.49,70.0,72.0,68.59,68.0,61.88
VL-Reasoner-72B,73.08,72.19,71.6,70.51,60.5,60.81,62.95,59.79
Skywork-R1V2-38B,70.05,64.66,69.84,65.38,64.5,63.69,64.13,55.0
MedVLM-R1,64.01,59.13,63.62,61.03,52.5,55.62,54.98,52.08
