Model,MRI,CT,Radiography,Nuclear Imaging,Visible Light Photography,General Photo of Affected Area,Histopathology
Gemini2.5-Pro(03-25),85.26,82.83,82.18,82.16,79.13,79.02,77.08
GPT4.1,81.31,78.77,81.09,78.04,76.59,76.2,69.58
GPT-4o,77.66,74.55,78.36,77.06,72.78,73.39,66.88
InternVL3-78B,77.05,74.55,75.45,73.33,70.05,71.75,63.96
LLaVA-OV-72B,79.64,73.8,76.73,72.55,69.15,72.22,62.71
Ovis2-34B,74.47,73.8,75.45,70.2,67.33,70.69,63.96
Qwen2.5-VL-72B-Instruct,72.64,74.4,73.82,75.29,65.34,64.48,63.75
HealthGPT-L14,72.8,69.13,70.91,70.78,63.88,67.64,61.46
HuatuoGPT-Vision-34B,74.16,70.03,69.45,68.04,60.62,57.8,61.88
Claude3.7-Sonnet-Thinking,72.19,71.23,75.82,70.98,69.69,68.0,61.88
VL-Reasoner-72B,71.43,72.59,71.27,71.37,60.44,62.95,59.79
Skywork-R1V2-38B,67.48,64.91,70.0,63.14,63.88,64.13,55.0
MedVLM-R1,61.4,59.64,63.09,61.18,54.08,54.98,52.08
