Model,Head,Lower Limb,Heart,Brain,Eye,Mouth,Skin
Gemini2.5-Pro(03-25),83.88,82.79,85.61,82.39,79.86,81.97,76.95
GPT4.1,80.17,80.93,83.45,76.53,78.22,77.32,74.72
GPT-4o,80.58,80.47,81.29,73.94,75.41,75.68,67.66
InternVL3-78B,79.34,78.6,82.73,74.88,68.62,70.22,69.89
LLaVA-OV-72B,80.17,77.67,80.22,77.93,68.15,73.77,64.31
Ovis2-34B,75.21,80.47,79.5,73.47,66.04,71.86,66.17
Qwen2.5-VL-72B-Instruct,67.77,73.95,76.26,73.24,66.74,68.85,61.71
HealthGPT-L14,66.94,70.23,71.94,73.24,70.96,68.31,63.94
HuatuoGPT-Vision-34B,69.01,69.77,71.94,73.24,63.93,63.11,57.62
Claude3.7-Sonnet-Thinking,73.55,77.21,79.14,72.07,68.38,73.5,62.45
VL-Reasoner-72B,68.6,69.3,73.74,74.88,66.28,68.31,55.39
Skywork-R1V2-38B,69.42,69.77,73.74,62.21,62.76,67.21,57.62
MedVLM-R1,63.22,63.26,61.87,58.22,50.35,59.84,50.56
