Model,ALL,Modality Recognition,Anatomy Identification,Symptom Recognition,Disease Diagnosis,Surgery & Operation
Gemini2.5-Pro(03-25),81.24,95.60,82.80,77.10,72.90,77.80
GPT4.1,77.98,94.60,77.00,72.50,71.30,74.50
GPT4.1-mini,75.02,92.50,73.70,73.00,64.70,71.20
GPT-4o,74.94,93.20,74.20,69.60,67.10,70.60
Claude-3.7-Sonnet,67.72,88.60,67.10,64.50,55.00,63.40
InternVL3-78B,72.92,90.30,69.00,71.90,61.60,71.80
InternVL3-38B,70.44,89.40,70.80,65.40,59.70,66.90
InternVL3-14B,66.04,85.50,66.10,62.20,55.30,61.10
InternVL3-9B,64.42,85.60,63.50,61.40,52.90,58.70
InternVL3-8B,64.06,86.00,65.00,60.40,52.40,56.50
InternVL3-2B,59.12,83.00,63.40,51.90,45.60,51.70
InternVL3-1B,49.28,72.90,56.70,41.50,36.30,39.00
LLaVA-OV-72B,72.86,89.30,69.60,70.00,63.30,72.10
LLaVA-OV-7B,60.96,84.40,60.40,56.60,50.20,53.20
LLaVA-OV-0.5B,41.40,59.70,45.20,33.60,33.70,34.80
Ovis2-34B,71.42,88.20,70.90,68.10,62.20,67.70
Ovis2-16B,68.90,87.30,67.20,65.80,60.00,64.20
Ovis2-8B,68.12,87.50,66.90,66.10,57.70,62.40
Ovis2-4B,63.30,85.20,66.00,58.00,53.20,54.10
Ovis2-2B,62.00,81.70,64.40,58.70,49.10,56.10
Ovis2-1B,48.58,75.50,53.30,41.50,34.90,37.70
Qwen2.5-VL-72B-Instruct,70.06,89.90,70.70,66.50,60.20,63.00
Qwen2.5-VL-32B-Instruct,66.46,88.10,67.70,59.30,57.20,60.00
Qwen2.5-VL-7B-Instruct,63.44,87.50,67.70,57.20,49.80,55.00
Qwen2.5-VL-3B-Instruct,57.82,84.20,60.80,50.20,42.90,51.00
InternVL2.5-78B,69.26,89.80,67.90,66.40,56.90,65.30
InternVL2.5-38B,67.18,86.80,66.90,63.10,55.50,63.60
InternVL2.5-26B,62.30,85.80,65.60,56.30,49.50,54.30
InternVL2.5-8B,60.90,82.00,62.80,55.30,52.30,52.10
InternVL2.5-4B,58.68,82.30,60.50,53.70,44.90,52.00
InternVL2.5-2B,47.70,70.80,53.00,39.40,36.00,39.30
InternVL2.5-1B,46.90,72.70,53.50,37.40,32.60,38.30
DeepSeek-VL2-Tiny,44.60,76.20,47.20,32.60,33.30,33.70
DeepSeek-VL2-Small,34.94,52.50,36.60,26.00,29.00,30.60
HealthGPT-L14,68.58,85.00,66.00,64.40,63.00,64.50
HealthGPT-M3,64.52,80.60,64.50,60.80,59.50,57.20
HuatuoGPT-Vision-34B,66.10,89.70,69.10,59.40,55.50,56.80
HuatuoGPT-Vision-7B,62.82,88.40,67.30,53.90,53.50,51.00
Claude3.7-Sonnet-Thinking,70.50,90.10,69.60,66.10,58.60,68.10
VL-Reasoner-72B,67.50,89.60,66.70,63.20,57.10,60.90
VL-Reasoner-7B,61.40,85.00,63.10,54.60,50.20,54.10
Skywork-R1V2-38B,64.70,82.00,63.20,61.00,56.30,61.00
Skywork-R1V-38B,56.20,76.30,58.20,51.70,44.60,50.20
Kimi-VL-A3B-Thinking,60.80,82.40,61.90,53.90,50.90,54.90
MedVLM-R1,57.68,83.00,62.20,47.70,41.80,53.70
