Model,Respiratory,Musculoskeletal_Detail,Musculoskeletal,Circulatory,Brain,Sensory organs,Digestive,Integumentary
Gemini2.5-Pro(03-25),82.69,82.64,82.37,83.42,81.7,80.13,80.21,78.19
GPT4.1,77.88,80.74,80.58,80.15,76.56,77.73,76.11,77.05
GPT-4o,75.0,78.75,75.54,76.5,73.21,75.55,73.42,70.82
InternVL3-78B,68.91,77.61,79.14,76.87,74.78,68.56,69.2,71.67
LLaVA-OV-72B,72.44,77.61,76.26,73.59,77.01,68.56,72.72,68.27
Ovis2-34B,71.15,76.57,70.86,75.23,72.99,66.81,69.32,69.12
Qwen2.5-VL-72B-Instruct,69.23,72.77,73.02,72.13,72.77,67.03,68.5,64.87
HealthGPT-L14,68.59,69.92,70.14,69.58,73.44,70.52,66.28,65.44
HuatuoGPT-Vision-34B,66.03,68.03,67.63,67.58,72.1,63.76,63.35,61.47
Claude3.7-Sonnet-Thinking,70.83,73.15,72.66,74.32,71.65,68.56,71.19,64.59
VL-Reasoner-72B,68.27,70.11,66.91,69.58,74.78,66.16,65.22,58.36
Skywork-R1V2-38B,61.86,69.92,62.59,69.95,61.16,62.45,63.7,59.77
MedVLM-R1,59.94,62.62,53.96,59.93,58.26,51.09,57.03,51.56
