Model,Respiratory,Musculoskeletal,Circulatory,Nervous,Digestive,Integumentary
Gemini2.5-Pro(03-25),82.69,82.58,82.48,81.07,80.21,78.19
GPT4.1,77.88,80.71,79.12,76.79,76.11,77.05
GPT-4o,75.0,78.08,75.77,74.12,73.42,70.82
InternVL3-78B,68.91,77.93,75.91,71.76,69.2,71.67
LLaVA-OV-72B,72.44,77.33,71.82,72.62,72.72,68.27
Ovis2-34B,71.15,75.38,73.28,69.41,69.32,69.12
Qwen2.5-VL-72B-Instruct,69.23,72.82,71.82,69.41,68.5,64.87
HealthGPT-L14,68.59,69.97,68.32,71.66,66.28,65.44
HuatuoGPT-Vision-34B,66.03,67.94,67.15,67.81,63.35,61.47
Claude3.7-Sonnet-Thinking,70.83,73.05,71.97,69.63,71.19,64.59
VL-Reasoner-72B,68.27,69.44,69.49,70.37,65.22,58.36
Skywork-R1V2-38B,61.86,68.39,68.61,61.71,63.7,59.77
MedVLM-R1,59.94,60.81,59.27,54.44,57.03,51.56
